ID_CLIENT,CLERK_TYPE,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,QUANT_ADDITIONAL_CARDS,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,EDUCATION_LEVEL,STATE_OF_BIRTH,CITY_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOBILE_PHONE,FLAG_EMAIL,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,QUANT_SPECIAL_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,PROFESSIONAL_CITY,PROFESSIONAL_BOROUGH,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,MATE_PROFESSION_CODE,EDUCATION_LEVEL.1,FLAG_HOME_ADDRESS_DOCUMENT,FLAG_RG,FLAG_CPF,FLAG_INCOME_PROOF,PRODUCT,FLAG_ACSP_RECORD,AGE,RESIDENCIAL_ZIP_3,PROFESSIONAL_ZIP_3,TARGET_LABEL
19,0,0,0,0,1,1,1,3,3,3,3,1,CE,Fortaleza,Vila Velha,1,2,3,2,0,1,3228,569,0,1,1,1,1,3,3,3,0,0,3,4,3,1,3,3,3,3,2,4,1,0,0,1,1,1,37,5,3,1
21,0,0,0,0,1,0,0,4,3,4,3,1,MS,MARACAJU,dom bosco,1,3,4,4,0,0,4706,522,1,0,1,1,1,3,3,3,0,0,3,3,3,1,3,3,3,3,5,3,0,0,0,1,0,1,35,3,2,0
22,0,0,0,0,0,1,1,5,3,2,3,1,CE,PACATUBA,JEREISSATE II,0,3,3,3,1,0,2271,653,1,1,1,0,0,3,4,3,0,0,3,3,3,0,3,2,2,3,3,3,1,0,1,1,0,0,27,3,4,1
23,0,1,1,0,1,0,0,4,4,3,3,0,DF,CEILANDIA,NORTE,1,3,3,3,1,0,1250,615,1,1,1,1,0,3,3,3,0,0,2,3,3,0,3,2,3,3,3,3,1,1,0,1,0,0,60,4,3,1
25,0,0,0,0,1,1,1,3,2,5,4,0,PB,JOAO PESSOA,MANDACARU,0,3,3,3,1,1,1847,678,0,1,1,1,1,5,3,3,0,1,3,3,3,0,2,3,3,3,3,2,1,1,0,1,1,0,27,3,3,1
28,0,0,0,1,0,0,1,3,4,3,3,0,MA,Sao Luis,Bom Jesus,1,3,3,2,0,1,4585,909,0,1,1,0,1,3,3,3,0,1,3,3,2,0,5,3,3,0,3,3,0,1,1,1,1,1,44,3,4,1
30,0,0,0,0,1,1,1,3,3,3,3,0,CE,CAUCAIA,ITAMBE,1,3,3,3,0,1,3627,525,1,1,0,0,1,3,3,4,0,1,3,3,4,1,3,3,2,6,3,2,1,0,1,1,0,1,34,3,3,1
31,0,3,0,0,1,0,1,3,3,3,4,0,CE,FORTALEZA,VILA VELHA,1,5,3,3,0,1,2942,414,1,0,1,0,0,3,3,3,0,0,3,3,2,0,2,2,3,3,3,3,1,1,1,1,0,0,28,2,3,1
32,0,0,1,1,0,1,0,3,3,3,3,1,SP,SAO PAULO,PARQUE FERNANDA,1,3,3,2,1,1,2581,373,1,1,1,1,1,3,3,3,0,1,3,3,3,0,3,3,3,3,3,3,0,1,1,1,1,1,25,2,5,1
34,0,2,0,0,1,0,0,3,3,3,3,1,RS,Capao do Leao,Jardim America,1,4,4,5,0,0,807,488,1,0,0,0,0,3,4,3,0,1,5,3,4,0,3,3,3,2,3,3,1,0,0,1,0,0,27,2,3,1
35,0,0,0,0,0,0,0,3,3,4,3,1,CE,FORTALEZA,JA NGURUSSU,0,3,4,4,1,1,2466,406,1,1,1,0,0,3,2,2,0,1,3,2,3,0,3,3,3,2,2,3,1,0,1,1,1,0,56,3,3,1
39,1,0,1,0,0,0,1,3,3,4,3,1,RN,Natal,Pajucara,1,2,3,2,1,0,3294,498,1,1,0,1,1,3,4,3,0,1,3,2,4,0,3,4,3,2,3,5,0,0,1,0,0,0,32,3,3,1
40,0,0,0,1,0,1,1,3,3,3,1,1,RN,Mossoro,abolicao III,1,3,3,2,1,0,193,626,0,1,1,0,1,3,3,3,0,0,3,2,3,1,3,3,3,3,3,4,1,0,0,1,0,1,28,1,3,1
41,0,0,2,0,1,0,1,3,4,2,3,0,SP,Guarulhos,Vila Barros,0,3,2,3,0,0,2916,644,1,1,1,1,1,3,1,4,1,0,3,3,3,0,3,3,4,3,3,3,1,0,1,1,1,0,33,2,3,1
42,1,0,0,0,0,1,1,2,3,3,3,1,MG,montes claros,c joaquim costa,1,4,3,3,0,1,2728,569,1,1,1,1,1,3,3,3,0,0,3,4,5,1,3,3,3,3,3,3,1,0,0,0,0,1,25,3,3,1
43,0,0,0,0,1,1,0,3,3,3,3,0,PR,CURITIBA,NOVO MUNDO,0,3,3,3,0,1,3218,491,1,0,1,1,1,2,3,2,0,0,3,4,3,1,3,4,3,4,2,2,0,1,1,1,0,1,43,3,3,1
45,0,0,0,0,1,0,0,2,3,3,3,0,MG,SAO THOME DAS LETRAS,CENTRO,0,4,3,3,1,0,4080,584,1,1,0,1,0,3,4,3,0,0,3,1,5,1,3,3,2,4,3,3,1,1,1,1,1,0,39,2,3,1
46,0,0,0,0,1,0,0,3,4,3,3,1,MT,TANGARA DA SERRA,JARDIM SAO LUIZ,1,3,3,3,1,0,3331,482,0,0,0,1,1,3,3,2,1,1,3,3,3,1,3,4,4,3,3,3,0,0,1,0,1,1,25,2,3,0
51,0,1,0,0,0,0,0,2,3,3,3,0,AL,MACEIO,PRADO,1,3,4,3,0,0,2944,573,0,1,1,1,0,3,4,4,0,0,2,3,3,0,3,3,3,3,3,2,1,0,0,1,1,0,31,3,2,1
52,0,0,0,0,0,1,0,3,3,3,3,1,AP,MACAPA,INFRAERO I,0,2,3,3,1,0,3017,480,1,1,0,0,1,2,3,2,0,1,3,3,1,1,3,4,3,3,4,4,1,1,0,1,0,1,27,3,3,1
54,0,2,1,0,1,0,1,3,2,3,3,1,ES,DORES DO RIO PRETO,CIDADE ALTA,0,3,4,3,1,1,872,513,0,0,1,0,0,3,3,1,0,1,4,4,3,1,3,3,3,3,3,3,0,0,1,1,0,0,37,3,3,0
56,0,0,0,0,0,1,0,3,3,2,3,1,RS,Porto Alegre,Protasio alves,0,3,3,3,0,0,2459,364,1,0,1,1,1,4,3,3,0,0,3,3,2,0,4,3,2,3,2,3,0,1,1,1,0,1,32,3,3,1
57,0,0,0,0,1,0,0,3,3,3,3,1,PA,TUCURUI,NOVA CONQUISTA,1,5,4,3,1,0,2697,523,0,1,0,1,1,2,4,3,0,0,3,4,3,0,3,3,2,3,2,3,1,1,0,1,1,0,43,3,3,1
59,0,0,0,0,0,1,1,4,4,4,3,1,CE,BARBALHA,CIROLANDIA,0,3,3,3,1,1,3291,669,0,1,1,1,1,2,3,3,0,1,3,4,3,1,2,3,3,3,3,3,1,1,0,0,1,0,25,3,3,0
60,2,2,0,0,1,0,1,3,3,4,3,0,SP,FLORIDA PAULISTA,CENTRO,0,4,2,4,1,0,2459,378,0,0,0,1,0,3,3,3,0,0,4,3,3,1,3,4,5,3,3,3,1,1,0,0,1,1,40,4,3,1
61,0,0,0,0,1,0,0,3,3,3,3,1,GO,RIO VERDE,SETOR MORADA DO SOL,1,2,4,4,0,0,4363,589,0,1,0,1,1,4,3,4,0,1,3,3,3,1,3,3,3,2,3,3,0,0,0,1,1,1,27,5,2,1
63,0,1,0,0,0,0,1,5,3,3,3,0,PE,CARPINA,SENZALA,1,2,2,4,0,0,3461,462,0,1,0,0,0,2,3,2,0,1,2,3,3,1,3,3,4,3,3,3,1,1,0,1,1,0,25,3,2,1
66,1,0,1,0,0,0,1,3,3,3,3,1,GO,GOIANIA,JD NOVA ESPERANCA,0,3,3,3,0,0,3246,515,0,1,0,0,0,2,4,3,0,0,3,3,3,1,3,3,4,3,3,1,1,1,1,0,1,0,43,3,3,1
67,0,0,1,0,0,1,0,4,1,2,2,0,SC,laguna,magalhaes,0,2,3,3,1,1,3536,519,1,0,0,1,1,2,4,3,0,1,2,3,3,1,3,3,3,2,3,4,0,1,1,1,0,0,25,3,3,0
69,0,2,2,0,0,0,1,3,3,3,3,1,SP,Sao Paulo,Vila ayrosa,1,4,3,4,0,0,1630,601,1,1,1,1,0,2,3,3,0,1,3,3,3,1,3,5,3,3,3,3,1,0,1,0,0,0,29,2,3,1
70,0,0,1,0,1,1,1,3,3,2,4,0,BA,Salvador,arenoso,0,4,3,3,1,1,2546,512,0,1,0,1,1,3,3,3,0,0,3,4,3,0,3,3,3,3,3,3,1,1,0,1,1,1,38,3,3,1
71,0,0,0,0,1,1,0,3,4,3,1,0,RS,pelotas,lot vasco pires,1,4,3,3,1,1,3848,416,1,0,1,0,0,3,3,3,0,0,2,3,3,1,3,3,3,3,3,2,1,1,1,0,0,0,40,3,2,0
74,0,0,0,1,0,0,1,3,3,3,3,1,PR,Foz do Iguacu,Conjunto C,1,3,1,4,0,1,1449,732,1,0,0,0,1,3,3,4,1,0,4,3,3,0,3,3,3,3,3,3,0,1,1,0,0,1,33,3,2,0
77,0,2,0,0,0,0,0,3,3,2,2,0,BA,SALVADOR,SUSSURANA,0,3,4,3,1,0,2356,647,1,0,1,1,0,3,4,2,1,1,3,4,3,1,4,3,3,3,3,3,0,0,1,1,0,1,34,4,3,0
79,0,0,0,0,1,1,0,3,4,2,3,1,SP,Jau,Jardim Nova Jaz,1,3,3,3,1,0,3311,424,1,1,1,0,0,2,3,2,0,0,3,3,3,0,3,4,3,5,3,4,1,0,0,1,1,0,36,3,4,1
80,0,0,0,0,1,0,1,3,2,3,3,0,SP,Itapeuvi,Vila Santa Rita,1,3,3,3,1,0,1238,503,0,1,0,0,1,3,3,3,0,1,2,4,3,0,3,3,3,3,3,4,1,0,1,0,1,1,25,3,3,1
81,0,0,0,0,0,1,0,3,3,3,3,1,PA,ITAITUBA,LIBERDADE,1,3,3,4,1,0,2924,600,1,1,0,0,1,3,3,3,0,1,3,3,4,0,3,3,3,4,3,4,0,1,0,0,0,0,41,3,2,1
85,1,0,1,0,1,1,1,4,4,3,3,0,PR,Ponta Grossa,Chapada,1,4,4,4,1,1,3950,364,1,1,1,1,1,2,3,4,1,1,2,3,3,0,4,3,3,4,4,3,1,1,1,0,0,1,32,3,3,1
88,0,0,0,0,1,0,1,2,4,3,4,1,SP,Jau,Jardim Padre augusto Sani,0,2,3,3,1,1,1466,499,0,1,1,0,1,5,3,3,0,0,3,4,2,0,0,4,3,2,3,3,1,1,0,1,1,0,31,4,2,1
89,0,0,2,0,0,0,0,3,3,3,3,0,SP,Maua,Jardim Zaira,0,3,3,4,1,1,2635,706,0,0,0,1,1,3,3,4,0,0,3,3,3,1,3,3,3,4,3,3,0,1,1,1,1,1,47,3,2,0
90,0,0,0,0,0,0,1,2,3,2,4,1,PR,Guarapuava,Morro alto,1,3,3,3,0,0,4042,488,0,1,1,0,0,3,3,3,0,1,4,4,3,1,3,5,3,2,3,4,1,1,0,1,0,0,31,3,2,1
91,0,0,0,1,0,0,1,3,2,3,3,1,CE,QUIXADA,CAMPO NOVO,1,3,2,4,1,1,2701,576,0,1,0,1,1,4,4,3,0,0,3,3,3,0,2,1,3,4,2,2,0,0,0,1,0,0,41,3,2,1
92,1,0,0,0,0,0,0,3,4,3,3,1,PA,QUATIPURU,VITALANDIA,0,3,3,3,0,0,4166,621,0,0,0,1,1,3,3,3,0,1,3,3,3,1,3,3,3,3,4,3,0,0,0,1,1,0,56,3,3,0
96,1,0,0,0,0,0,1,3,4,4,4,1,MT,VARZEA GRANDE,SANTA TEREZINHA,1,3,3,4,1,0,3443,621,0,0,0,0,1,3,2,4,1,1,3,2,4,1,3,3,3,3,3,3,0,1,1,0,1,1,29,3,4,0
97,1,0,0,0,0,1,0,3,2,3,3,1,AP,SANTANA,FONTE NOVA,0,5,2,3,0,1,3839,482,1,1,1,1,1,4,2,2,0,0,4,3,4,0,4,2,3,1,3,3,1,1,1,0,0,1,27,3,3,1
98,1,0,0,0,1,0,0,3,3,3,2,0,SC,FRAIBURGO,SAO SEBASTIAO,0,3,3,3,0,1,2805,492,0,1,0,0,1,3,3,2,0,1,3,3,3,1,3,3,3,1,3,5,1,0,1,0,0,1,30,2,3,1
100,0,0,0,0,0,1,1,2,3,3,3,1,AL,SAO LUIZ DO QUITUNDE,CENTRO,0,3,2,3,1,1,2460,497,0,1,1,0,0,3,3,3,0,0,3,4,3,0,4,3,2,3,4,3,1,1,1,0,0,0,28,3,3,1
101,1,0,0,0,0,1,1,2,3,3,2,0,RJ,SAO GONCALO,LUIZ CACADOR,1,3,4,2,1,1,4216,432,1,0,0,1,1,1,3,3,0,0,3,3,4,0,3,2,2,5,3,6,0,1,1,0,0,0,35,3,3,0
103,0,0,1,2,1,1,0,3,3,2,3,1,RS,Cachoeira do Sul,Sao Jose,1,4,4,3,1,0,1826,593,1,1,1,1,0,3,4,3,0,0,3,3,3,0,3,3,3,3,3,3,1,0,1,0,0,0,31,3,3,1
104,0,0,2,0,0,1,1,3,2,4,3,1,BA,TEIXEIRA DE FREITAS,JARDIM DOS PASSAROS,0,3,3,3,1,0,4358,550,0,1,0,0,1,3,3,3,0,1,3,3,3,1,3,3,3,3,3,3,0,0,0,1,1,0,34,3,2,1
106,0,0,1,0,0,0,1,3,2,3,3,1,RS,Esteio,Parque Santo Inacio,1,3,3,3,0,1,2336,459,1,1,1,0,1,5,3,3,0,0,4,5,3,0,4,3,3,3,3,3,1,1,0,1,0,1,25,3,3,1
108,0,0,0,0,1,1,0,3,3,3,3,0,SP,Leme,Jardim Palmeiras,1,3,2,2,0,1,3783,799,0,1,1,1,1,2,3,3,1,1,3,3,3,1,3,3,3,3,3,3,1,0,0,0,1,1,32,3,4,1
110,0,0,1,0,1,1,1,3,3,2,3,0,SC,BIGUACU,SEVEIRO,0,3,4,3,1,1,3915,572,0,0,1,1,1,5,3,1,0,1,2,3,3,0,3,2,3,3,3,4,0,1,0,1,1,1,38,2,3,0
111,0,0,0,0,1,1,1,4,3,3,3,1,RJ,RIO DE JANEIRO,SANTA CRUZ,1,3,3,3,0,1,3682,485,0,1,0,0,0,2,2,4,0,0,3,3,3,0,3,4,3,3,3,3,1,1,1,0,1,0,38,1,3,1
112,0,0,0,0,0,1,0,2,3,3,3,1,AL,PARICONHA,POVOADO,0,3,3,2,0,1,5665,628,1,1,0,0,1,3,3,2,1,0,2,3,3,0,3,3,3,3,3,3,0,1,0,0,1,1,25,3,4,1
116,0,0,0,0,0,1,0,3,3,3,4,1,PE,petrolina,jardim amazonas,1,3,4,4,0,0,3800,604,1,1,1,1,1,4,3,3,0,1,3,4,3,1,3,3,3,2,3,3,0,0,0,0,1,0,33,3,2,1
117,0,0,0,0,1,1,1,3,5,5,3,0,PE,ITAPISUMA,CENTRO,1,2,2,3,1,1,4181,441,1,1,0,0,0,3,3,3,0,1,2,3,3,0,3,3,2,3,3,3,1,1,0,0,1,1,30,4,3,1
118,1,0,0,0,1,0,0,3,2,4,1,0,AM,ITACOATIARA,SANTO ANTONIO,1,3,3,3,0,1,2705,386,0,1,0,0,0,2,3,2,0,0,2,3,4,1,3,3,2,3,3,3,1,0,1,1,1,1,50,3,3,1
119,0,0,0,1,1,0,0,3,4,3,2,1,MG,ALFENAS,SANTA EDWIRGES,0,3,3,3,1,1,1953,447,1,0,0,0,1,3,3,3,0,0,3,3,3,1,5,2,3,2,3,4,0,1,1,1,1,1,29,5,3,0
120,0,0,0,0,0,0,1,2,3,3,3,0,PE,PAULISTA,MARANGUAPE I,0,3,3,3,1,0,3522,354,0,1,0,0,1,3,3,2,0,0,3,3,4,0,4,2,3,3,3,3,1,1,1,1,0,1,34,3,2,1
121,0,2,0,0,1,0,0,4,3,3,3,0,CE,CAUCAIA,NOVA METROPOLIS,0,5,3,2,0,1,4410,568,0,0,1,0,0,3,3,3,0,1,3,4,3,0,4,2,4,3,1,2,1,0,0,0,1,0,34,3,3,0
125,0,0,0,0,1,0,1,3,5,3,3,0,MT,VARZEA GRANDE,MARINGA UM,0,3,3,2,0,1,3719,475,0,1,1,1,1,4,3,3,0,0,3,3,4,0,3,3,3,3,2,2,1,1,0,1,1,1,31,3,3,1
126,0,0,0,0,0,1,0,2,3,3,3,1,PE,CARPINA,SENZALA,1,3,3,3,0,1,3899,559,0,1,0,0,1,3,3,3,2,0,2,3,4,1,3,3,3,3,3,5,1,0,0,1,1,1,34,3,3,1
127,1,1,1,0,1,1,0,3,3,3,3,1,BA,MUCURI,CENTRO,1,3,2,3,1,0,2201,672,0,1,0,0,0,1,3,3,0,0,2,2,3,0,4,3,4,3,3,3,1,0,0,0,0,1,25,3,3,1
128,1,0,0,0,1,1,1,3,3,2,3,1,PB,JOAO PESSOA,MANGABEIRA VII,1,3,3,3,0,1,3272,385,1,1,0,1,1,3,2,3,0,0,3,3,3,1,2,4,3,3,3,3,1,1,0,0,0,0,46,3,4,1
130,0,0,0,0,0,0,0,3,4,4,3,0,SP,Suzano,Jardim Nova america,1,2,3,3,1,0,3724,527,1,0,0,1,1,4,3,4,1,0,3,2,5,0,3,3,3,4,2,3,0,0,0,0,1,1,42,3,3,0
134,0,0,0,0,0,1,0,2,2,3,5,0,AL,MACEIO,TABULEIRO,1,3,3,4,1,1,3787,424,0,0,1,0,1,3,3,4,0,0,3,3,3,1,3,3,2,4,3,3,0,0,0,1,0,0,54,4,3,0
135,0,0,1,1,1,1,1,4,3,3,3,1,RS,Pelotas,areal,0,3,3,5,0,0,3561,493,1,0,0,0,0,3,3,4,0,0,3,3,3,0,3,3,2,2,3,3,0,0,1,0,1,0,47,3,3,0
136,0,0,0,1,0,1,0,4,3,3,2,1,BA,PAULO AFONSO,NOSSA SRA DE FATIMA,0,4,3,4,1,0,3576,587,1,1,0,1,1,2,2,3,0,0,4,3,3,1,3,3,2,3,3,3,1,0,1,0,1,1,29,5,3,1
139,0,0,0,1,0,1,1,2,4,2,3,1,SP,PEDREIRA,MARAJOARA,0,3,3,4,0,1,3053,573,0,1,0,0,0,2,1,4,0,1,2,5,4,1,4,3,4,3,3,4,1,1,1,1,1,1,38,3,3,1
143,0,0,0,1,1,0,0,4,3,3,2,1,BA,SALVADOR,PAU MIUDO,0,3,4,4,0,1,3929,522,1,1,1,0,0,4,3,3,0,0,3,3,3,1,5,3,3,3,3,3,1,0,0,0,1,0,25,4,4,1
144,0,0,1,0,1,0,1,3,3,2,3,0,MG,juiz de fora,vila olavo costa,0,3,3,3,1,0,2729,622,1,1,1,0,0,4,3,3,0,1,3,3,2,1,3,4,3,3,2,3,1,0,0,1,1,1,42,3,3,1
145,1,0,0,0,0,0,0,3,3,2,3,1,CE,QUIXADA,RUA DA PALHA,0,3,3,2,1,0,4564,464,1,0,1,1,1,3,3,2,0,1,3,3,2,1,3,4,3,3,4,2,0,0,1,1,0,0,34,4,3,0
147,1,0,0,0,1,0,1,3,3,3,3,1,SP,Guarulhos,Jardim Fortaleza,1,3,2,3,1,1,2202,409,1,0,1,0,1,5,3,3,0,1,3,4,3,0,4,2,3,3,3,3,0,0,1,1,1,1,40,2,3,1
149,0,0,1,1,0,1,1,2,3,5,2,0,SP,BARIRI,DOMINGOS AQUILANTE,0,3,3,4,1,0,2965,502,1,1,1,1,0,4,4,2,0,0,3,3,3,0,3,4,4,3,3,4,1,1,1,1,0,0,26,3,3,1
150,0,0,0,0,1,0,1,3,3,3,3,1,RJ,NOVA FRIBURGO,CASCATINHA,1,4,3,3,0,1,3689,480,1,0,1,0,0,4,3,2,0,0,2,3,3,0,1,3,3,2,2,3,0,0,0,0,1,0,26,4,4,0
152,0,0,0,0,1,0,1,3,1,3,3,0,DF,BRASILIA,REC DAS EMAS,1,2,3,3,1,1,3865,445,1,1,0,0,1,3,3,3,0,0,3,3,3,0,1,5,3,4,4,3,1,0,0,0,0,1,30,3,2,1
154,0,1,1,0,1,1,1,3,4,3,4,0,PE,RECIFE,DOIS UNIDO,1,3,4,2,0,0,1493,477,0,1,0,0,0,2,4,3,1,0,3,2,2,1,3,3,3,3,2,2,1,0,1,0,1,1,38,3,3,1
156,0,0,1,2,1,1,1,3,4,3,3,1,SP,BOM JESUS DOS PERDOES,PARQUE HOTENCIA,1,3,2,3,1,1,4018,384,0,1,1,1,1,3,3,3,0,0,3,2,3,0,4,4,3,3,0,4,1,1,1,1,1,0,25,3,2,1
159,0,0,0,0,1,1,0,5,3,3,4,1,CE,CAUCAIA,MARECHAL RONDON,0,4,3,3,0,0,3590,607,0,1,0,0,0,4,3,4,0,1,2,3,3,1,2,3,3,3,3,2,1,0,0,0,0,1,25,3,4,1
160,0,1,0,0,0,1,1,3,3,3,3,1,SP,LENCOIS PAULISTA,CECAP II,1,3,3,2,1,1,3579,499,1,1,1,0,0,3,5,4,0,1,3,3,3,1,4,3,3,3,1,4,1,0,1,1,0,0,25,2,4,1
161,0,0,0,0,1,1,1,3,3,3,3,1,MT,SORRISO,BENJAMIN RAIZER,0,4,1,3,1,0,4362,515,0,1,0,1,1,3,2,2,1,1,3,6,3,1,3,3,2,3,3,2,1,1,1,0,1,0,44,3,3,1
163,0,0,0,0,0,0,1,3,3,3,4,1,PE,Paulista,Pau amarelo,0,3,4,3,0,1,657,464,1,1,0,1,1,3,3,3,0,1,3,3,3,1,3,3,3,3,4,4,1,1,0,0,1,1,47,3,2,1
164,0,0,0,0,0,1,1,3,2,3,3,1,SP,Guarulhos,Jardim alice,1,3,3,3,0,0,2248,368,1,0,0,1,1,3,3,3,0,0,3,3,3,0,3,4,3,3,2,5,0,1,0,1,0,1,42,2,3,1
165,0,1,0,0,0,1,0,2,3,3,3,0,PA,BELEM,SACRAMENTA,1,3,3,3,1,0,2952,592,1,0,0,0,0,1,5,4,0,1,3,2,3,1,3,3,3,3,3,3,0,1,0,0,1,0,35,3,3,0
167,0,0,0,0,1,0,0,2,4,3,3,0,AP,SANTANA,PICARREIRA,0,3,4,3,0,1,4343,474,0,0,1,0,1,2,4,3,1,0,3,3,4,1,3,3,4,1,2,3,0,0,0,0,1,0,35,3,3,0
170,0,0,0,0,0,1,0,3,3,3,3,0,RJ,Rio de Janeiro,Inhoaiba,0,3,3,2,0,0,2298,461,1,1,1,1,1,3,3,3,0,0,3,3,3,0,3,2,3,3,4,3,0,0,1,0,0,0,35,4,3,1
172,0,0,0,1,0,0,1,3,3,3,3,1,MG,UBA,INDUSTRIAL,0,3,3,3,0,0,39,515,1,0,1,1,1,3,3,1,0,1,4,3,4,0,3,3,5,3,3,3,0,0,1,1,0,0,49,3,3,0
173,1,0,0,0,0,0,1,3,3,4,3,0,MG,tupaciguara,nova esperanca,1,3,3,3,1,1,0,694,0,0,1,0,1,3,3,3,0,1,3,3,3,1,3,3,3,3,3,3,0,1,0,0,0,0,28,3,3,0
174,0,2,0,0,0,0,0,3,3,3,3,1,PE,Recife,COHAB,1,4,3,3,0,0,3694,411,1,0,0,0,0,4,3,3,0,0,4,3,3,1,3,3,2,2,4,3,1,1,1,1,0,0,39,3,2,1
175,0,0,1,1,0,1,1,3,3,4,4,1,BA,LAURO DE FREITAS,ITINGA,1,3,3,3,1,0,2761,645,0,1,0,1,0,2,4,3,0,0,2,3,3,0,1,3,3,3,3,3,1,0,0,1,0,1,42,3,4,1
